2025-06-14 00:50:51,408 - INFO - Found cointegrated pair: COMPUSDT-EGLDUSDT, p-value=0.0408
2025-06-14 00:50:53,648 - INFO - Found cointegrated pair: COMPUSDT-LPTUSDT, p-value=0.0103
2025-06-14 00:50:56,578 - INFO - Found cointegrated pair: COMPUSDT-METISUSDT, p-value=0.0464
2025-06-14 00:50:59,096 - INFO - Found cointegrated pair: COMPUSDT-KSMUSDT, p-value=0.0008
2025-06-14 00:51:01,284 - INFO - Found cointegrated pair: COMPUSDT-FARMUSDT, p-value=0.0000
2025-06-14 00:51:01,408 - INFO - Found cointegrated pair: COMPUSDT-TRUMPUSDT, p-value=0.0000
2025-06-14 00:51:03,918 - INFO - Found cointegrated pair: COMPUSDT-DASHUSDT, p-value=0.0000
2025-06-14 00:51:05,786 - INFO - Found cointegrated pair: COMPUSDT-ENSUSDT, p-value=0.0072
2025-06-14 00:51:08,453 - INFO - Found cointegrated pair: COMPUSDT-LINKUSDT, p-value=0.0043
2025-06-14 00:51:13,490 - INFO - Found cointegrated pair: COMPUSDT-ILVUSDT, p-value=0.0002
2025-06-14 00:51:16,049 - INFO - Found cointegrated pair: COMPUSDT-ETCUSDT, p-value=0.0000
2025-06-14 00:51:20,725 - INFO - Found cointegrated pair: COMPUSDT-ZENUSDT, p-value=0.0001
2025-06-14 00:51:24,270 - INFO - Found cointegrated pair: COMPUSDT-UNIUSDT, p-value=0.0000
2025-06-14 00:51:26,128 - INFO - Found cointegrated pair: COMPUSDT-MOVRUSDT, p-value=0.0002
2025-06-14 00:51:28,667 - INFO - Found cointegrated pair: COMPUSDT-NMRUSDT, p-value=0.0002
2025-06-14 00:51:30,940 - INFO - Found cointegrated pair: COMPUSDT-ARUSDT, p-value=0.0288
2025-06-14 00:51:32,834 - INFO - Found cointegrated pair: COMPUSDT-ALCXUSDT, p-value=0.0003
2025-06-14 00:51:34,928 - INFO - Found cointegrated pair: COMPUSDT-RAYUSDT, p-value=0.0000
2025-06-14 00:51:37,269 - INFO - Found cointegrated pair: EGLDUSDT-LPTUSDT, p-value=0.0000
2025-06-14 00:51:40,216 - INFO - Found cointegrated pair: EGLDUSDT-AVAXUSDT, p-value=0.0294
2025-06-14 00:51:40,638 - INFO - Found cointegrated pair: EGLDUSDT-METISUSDT, p-value=0.0359
2025-06-14 00:51:43,209 - INFO - Found cointegrated pair: EGLDUSDT-KSMUSDT, p-value=0.0017
2025-06-14 00:51:45,313 - INFO - Found cointegrated pair: EGLDUSDT-FARMUSDT, p-value=0.0000
2025-06-14 00:51:45,426 - INFO - Found cointegrated pair: EGLDUSDT-TRUMPUSDT, p-value=0.0000
2025-06-14 00:51:48,016 - INFO - Found cointegrated pair: EGLDUSDT-DASHUSDT, p-value=0.0062
2025-06-14 00:51:49,902 - INFO - Found cointegrated pair: EGLDUSDT-ENSUSDT, p-value=0.0027
2025-06-14 00:51:52,459 - INFO - Found cointegrated pair: EGLDUSDT-LINKUSDT, p-value=0.0289
2025-06-14 00:51:53,030 - INFO - Found cointegrated pair: EGLDUSDT-ORDIUSDT, p-value=0.0031
2025-06-14 00:51:57,506 - INFO - Found cointegrated pair: EGLDUSDT-ILVUSDT, p-value=0.0000
2025-06-14 00:52:00,042 - INFO - Found cointegrated pair: EGLDUSDT-ETCUSDT, p-value=0.0003
2025-06-14 00:52:04,699 - INFO - Found cointegrated pair: EGLDUSDT-ZENUSDT, p-value=0.0036
2025-06-14 00:52:10,004 - INFO - Found cointegrated pair: EGLDUSDT-MOVRUSDT, p-value=0.0000
2025-06-14 00:52:12,580 - INFO - Found cointegrated pair: EGLDUSDT-NMRUSDT, p-value=0.0147
2025-06-14 00:52:14,862 - INFO - Found cointegrated pair: EGLDUSDT-ARUSDT, p-value=0.0062
2025-06-14 00:52:16,738 - INFO - Found cointegrated pair: EGLDUSDT-ALCXUSDT, p-value=0.0055
2025-06-14 00:52:22,039 - INFO - Found cointegrated pair: LPTUSDT-AVAXUSDT, p-value=0.0000
2025-06-14 00:52:22,429 - INFO - Found cointegrated pair: LPTUSDT-METISUSDT, p-value=0.0000
2025-06-14 00:52:24,682 - INFO - Found cointegrated pair: LPTUSDT-KSMUSDT, p-value=0.0072
2025-06-14 00:52:24,793 - INFO - Found cointegrated pair: LPTUSDT-TRUMPUSDT, p-value=0.0000
2025-06-14 00:52:27,053 - INFO - Found cointegrated pair: LPTUSDT-DASHUSDT, p-value=0.0423
2025-06-14 00:52:28,838 - INFO - Found cointegrated pair: LPTUSDT-ENSUSDT, p-value=0.0126
2025-06-14 00:52:31,009 - INFO - Found cointegrated pair: LPTUSDT-LINKUSDT, p-value=0.0344
2025-06-14 00:52:35,607 - INFO - Found cointegrated pair: LPTUSDT-ILVUSDT, p-value=0.0000
2025-06-14 00:52:37,873 - INFO - Found cointegrated pair: LPTUSDT-ETCUSDT, p-value=0.0031
2025-06-14 00:52:38,820 - INFO - Found cointegrated pair: LPTUSDT-SSVUSDT, p-value=0.0415
2025-06-14 00:52:41,046 - INFO - Found cointegrated pair: LPTUSDT-ZENUSDT, p-value=0.0003
2025-06-14 00:52:44,171 - INFO - Found cointegrated pair: LPTUSDT-UNIUSDT, p-value=0.0172
2025-06-14 00:52:45,971 - INFO - Found cointegrated pair: LPTUSDT-MOVRUSDT, p-value=0.0001
2025-06-14 00:52:48,185 - INFO - Found cointegrated pair: LPTUSDT-NMRUSDT, p-value=0.0012
2025-06-14 00:52:50,366 - INFO - Found cointegrated pair: LPTUSDT-ARUSDT, p-value=0.0000
2025-06-14 00:52:52,269 - INFO - Found cointegrated pair: LPTUSDT-ALCXUSDT, p-value=0.0041
2025-06-14 00:52:54,259 - INFO - Found cointegrated pair: LPTUSDT-RAYUSDT, p-value=0.0327
2025-06-14 00:52:54,738 - INFO - Found cointegrated pair: BANANAUSDT-METISUSDT, p-value=0.0175
2025-06-14 00:52:55,242 - INFO - Found cointegrated pair: BANANAUSDT-FARMUSDT, p-value=0.0261
2025-06-14 00:52:55,338 - INFO - Found cointegrated pair: BANANAUSDT-TRUMPUSDT, p-value=0.0000
2025-06-14 00:52:56,280 - INFO - Found cointegrated pair: BANANAUSDT-ORDIUSDT, p-value=0.0019
2025-06-14 00:52:56,556 - INFO - Found cointegrated pair: BANANAUSDT-INJUSDT, p-value=0.0116
2025-06-14 00:52:57,992 - INFO - Found cointegrated pair: BANANAUSDT-MOVRUSDT, p-value=0.0430
2025-06-14 00:52:58,265 - INFO - Found cointegrated pair: BANANAUSDT-NMRUSDT, p-value=0.0129
2025-06-14 00:52:59,543 - INFO - Found cointegrated pair: AVAXUSDT-METISUSDT, p-value=0.0030
2025-06-14 00:53:03,997 - INFO - Found cointegrated pair: AVAXUSDT-FARMUSDT, p-value=0.0000
2025-06-14 00:53:04,107 - INFO - Found cointegrated pair: AVAXUSDT-TRUMPUSDT, p-value=0.0000
2025-06-14 00:53:08,256 - INFO - Found cointegrated pair: AVAXUSDT-ENSUSDT, p-value=0.0006
2025-06-14 00:53:15,401 - INFO - Found cointegrated pair: AVAXUSDT-ILVUSDT, p-value=0.0024
2025-06-14 00:53:17,839 - INFO - Found cointegrated pair: AVAXUSDT-ETCUSDT, p-value=0.0027
2025-06-14 00:53:27,516 - INFO - Found cointegrated pair: AVAXUSDT-MOVRUSDT, p-value=0.0000
2025-06-14 00:53:32,272 - INFO - Found cointegrated pair: AVAXUSDT-ARUSDT, p-value=0.0045
2025-06-14 00:53:34,176 - INFO - Found cointegrated pair: AVAXUSDT-ALCXUSDT, p-value=0.0001
2025-06-14 00:53:34,444 - INFO - Found cointegrated pair: AVAXUSDT-RENDERUSDT, p-value=0.0001
2025-06-14 00:53:37,113 - INFO - Found cointegrated pair: METISUSDT-FARMUSDT, p-value=0.0097
2025-06-14 00:53:37,212 - INFO - Found cointegrated pair: METISUSDT-TRUMPUSDT, p-value=0.0000
2025-06-14 00:53:38,801 - INFO - Found cointegrated pair: METISUSDT-ORDIUSDT, p-value=0.0409
2025-06-14 00:53:39,229 - INFO - Found cointegrated pair: METISUSDT-INJUSDT, p-value=0.0073
2025-06-14 00:53:39,654 - INFO - Found cointegrated pair: METISUSDT-ILVUSDT, p-value=0.0041
2025-06-14 00:53:40,441 - INFO - Found cointegrated pair: METISUSDT-GMXUSDT, p-value=0.0023
